ticket_serial,match_id,seat_number,price,status,stadium_serial,home_team,away_team,stadium_id,match_date,name,city,capacity
T5001,1,Section-5-Row-3-Seat-11,300,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5002,1,Section-4-Row-3-Seat-3,150,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5003,1,Section-5-Row-3-Seat-20,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5004,1,Section-1-Row-3-Seat-15,250,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5005,1,Section-4-Row-8-Seat-5,150,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5006,1,Section-1-Row-3-Seat-9,200,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5007,1,Section-3-Row-4-Seat-7,250,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5008,1,Section-2-Row-8-Seat-20,300,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5009,1,Section-1-Row-3-Seat-6,300,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5010,1,Section-3-Row-2-Seat-6,200,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5011,1,Section-5-Row-1-Seat-20,250,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5012,1,Section-5-Row-9-Seat-5,300,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5013,1,Section-5-Row-9-Seat-5,200,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5014,1,Section-5-Row-3-Seat-17,300,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5015,1,Section-1-Row-8-Seat-17,200,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5016,1,Section-3-Row-5-Seat-17,250,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5017,1,Section-3-Row-5-Seat-13,300,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5018,1,Section-3-Row-3-Seat-5,200,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5019,1,Section-1-Row-7-Seat-20,200,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5020,1,Section-5-Row-1-Seat-5,200,sold,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
T5021,1,Section-5-Row-6-Seat-15,200,available,S1002,South Korea,Saudi Arabia,2,2034-06-11 00:00,King Abdullah Sports City,Jeddah,62345
